YEAR,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ECONOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual economies,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
World,-5.927019693,-5.809765793,-3.354922162,-6.44921632,-9.410689979,-5.450022072,-4.685794,-5.708957842,-5.109797035,-6.810310689,-5.342573804,-4.651501633,-5.466360748,-4.955855844,-5.301350026,-4.754739459,-4.806877864,-4.841692896,-5.131083748,-4.325782044,-3.977035589,-3.539141082,-3.713825137,-3.248963232,-3.0683587,-2.377735189,-2.221251039,-3.713921053,-3.28458029,-3.46822429,-3.746750237,-2.108030009,-1.954865453,-2.623621487,-2.933552464,-2.265836227,-2.865637166,-3.02597539,-3.229578495,-2.683474994,-3.317932882,-3.44393374,-3.146886596,-3.330382929,-3.143142215,-1.645348889,-1.384110263,-1.118462429,-1.563462881,-1.520563443,-2.184146195,-2.298510977,-3.036676428,-3.385174525,-2.456891193,-2.439668178,-2.6927598,-2.555949312,-1.844030979,-1.470574224,-1.93806288,-1.062624275,-0.772106661,-0.542915666,-0.767234322,-0.080779584,-0.254258177,-0.998139226,-0.972788497,-1.33522326,-1.787996364,-1.71419789
Africa,-13.16808594,-15.4081141,-1.109672354,-9.255844083,-14.12010839,-7.174294018,-8.158456813,-11.41859461,-9.195371751,-15.15241675,-17.86079497,-9.597452184,-13.6916838,-12.67083211,-3.717730663,4.703136702,3.462367508,-0.75460449,5.908429248,6.919894716,16.69832236,20.37114599,10.94274223,4.280175484,13.59185908,20.95023417,36.91839484,-1.918959398,12.07954933,9.203925041,-9.021081491,29.108848,25.79380142,-9.277999589,-10.95575653,-4.297399531,0.503773955,12.44855766,-6.911876716,-5.176707477,-18.21852561,-8.214955561,11.04681076,7.48436396,-0.905710696,-3.168020894,-6.699832413,-9.863273138,-1.060982992,-4.045555932,-20.8835261,-9.090457348,13.84774144,2.921300537,6.562276351,8.356307122,12.72038071,21.26819429,22.35802385,16.4357387,16.79773797,-4.404384846,8.785569699,7.686743196,3.740961593,-7.772634265,-12.74736878,-29.33771022,-26.65176625,-17.7941364,-15.98810618,-18.9026276
  Northern Africa,-26.11203417,-28.33494167,-23.40695177,-26.57483852,-37.79870149,-31.50302141,-29.23104332,-29.5482973,-30.37204314,-33.84473884,-39.50255261,-41.50323475,-43.67341454,-46.25488931,-37.39059912,-14.46579022,-7.052619086,-1.916508532,-2.477729464,11.86392813,32.05783694,39.14956748,31.52045616,27.4720296,27.61017959,21.59479291,36.0234197,-11.64805294,9.926565893,0.629792352,-19.36651815,26.05606162,39.58647894,1.390071286,-5.521236947,-6.511028651,-10.89913134,2.230833798,-28.39561785,-27.76495329,-42.39046977,-29.46069799,-1.386160125,4.93691578,-9.651594259,-20.51196956,-22.15810843,-23.27824963,-15.40198004,-13.63383994,-36.30655517,-22.49805447,12.18456209,0.413143807,-4.060061441,11.89271869,12.77762872,30.32163495,39.11239051,26.18493129,26.29773835,-10.59677712,-0.530218965,-9.831959941,-6.963523511,-19.22758672,-32.00810482,-46.38254182,-42.30122697,-36.50449717,-33.32154878,-34.2183477
  Sub-Saharan Africa,-6.103387829,-8.625120928,11.59290433,-0.339690976,-1.564893221,4.650575855,0.821270892,-3.713415724,-0.331296394,-7.073542731,-7.156955638,5.875486035,1.736932091,4.023016192,10.11004771,13.79589142,8.078732971,-0.31876943,9.389402606,5.098831087,10.69688222,13.1519211,3.464217585,-3.60635624,7.871744878,20.65602227,37.42713234,4.435513364,13.40238975,14.92080218,-2.12937728,30.92491711,19.09220364,-14.94278696,-14.24125558,-2.784147121,9.230328842,20.36131118,10.16613458,12.16885806,3.082065559,9.723883355,19.18908623,8.963145959,4.242371791,7.676952315,3.075382357,-1.839700974,7.394226595,1.244512416,-11.11314265,-0.712386505,14.859375,4.409796431,13.34232401,6.463586271,12.68906685,16.40890199,13.8786456,11.18142215,11.45267865,-0.516773635,14.3237464,16.62449811,9.683395852,-1.458546625,-2.397438162,-19.75981485,-17.55906047,-6.681788823,-5.994264599,-10.28746989
    Eastern Africa,-10.1856839,-27.84974833,-5.677228559,-8.355977094,-2.533775231,-1.388688736,-16.36291569,-19.17990217,-15.07926053,-22.03541051,-21.6915006,-11.49374751,-11.25734143,-7.796431611,-3.228515727,6.547727761,12.78496304,-0.807831347,2.021757156,-2.531602047,-3.751203187,11.20683593,2.99710309,-4.433851981,-10.25133414,0.999171077,-10.4886537,-27.43231423,-1.122265704,-2.247295956,-30.00497356,-20.98179286,-33.47647387,-38.38484856,-37.28555496,-32.63600784,-28.50284318,-32.40924729,-28.46103324,-35.86389909,-34.56643158,-36.20611701,-42.94500607,-41.00491608,-46.79258855,-43.99198991,-38.63660584,-38.01494007,-38.62013385,-36.99765656,-41.37853378,-43.13836493,-41.72995459,-42.32100552,-35.64067271,-42.76669958,-43.89571209,-47.29211611,-45.44805651,-47.39202881,-53.98945217,-52.79568608,-46.97607607,-47.69829389,-51.1232738,-52.49234636,-53.57418897,-57.0011971,-51.90145722,-48.54065362,-49.11589588,-50.26842854
    Middle Africa,7.16112532,-10.47381546,15.01103753,12.69592476,-8.430609598,14.04833837,10.9375,16.68367627,18.12636248,0.605407742,2.850475782,26.24289603,35.57222004,12.42751204,42.72021334,59.16485103,51.57534938,37.58002521,48.53689586,30.68584395,50.18409379,61.67590809,60.53203353,38.14942121,43.03847307,62.4828763,107.8954007,62.42255418,75.97242316,50.92076003,30.53915904,74.94874622,50.17722478,29.41397772,43.90925366,46.22002819,59.82592802,44.49125583,3.689178744,11.62010138,38.20263981,57.70438297,74.0743155,84.95540538,82.94299943,108.1351406,89.65773424,94.98493287,75.12046409,81.26151901,47.71225185,66.24822112,126.781163,73.13231794,70.09406055,72.22764667,115.3019683,159.814352,176.5451906,148.3432518,159.436277,60.82880764,120.3238379,128.3393911,116.9708233,97.65652303,63.637086,31.78179131,49.024651,79.25806512,95.95334489,81.70739343
    Southern Africa,-24.5812792,-8.837587153,24.38919846,-1.452539397,9.033914591,7.982673267,3.880731873,8.305684583,16.53812348,15.58274464,4.620915345,32.24359843,20.41566986,43.89212495,47.40067141,31.43425335,7.824335279,-1.380370126,13.21815814,6.643306379,12.79894231,3.807411033,-13.66018877,-20.75803559,1.767699833,13.71550547,8.466058798,3.238905048,3.978755851,47.28855618,54.26012801,84.52017577,24.09101657,-13.33050274,-8.09664954,9.78222426,3.124385684,36.5352602,34.09973397,32.85578229,12.00498426,12.54299658,18.34950032,15.14241403,10.5450787,13.31516362,4.59680463,-10.38208161,-4.319218186,-7.269902309,-12.57312664,-2.342573718,-0.208227522,2.40470785,0.741007802,-8.862320766,-13.31298702,-15.15181316,-23.00688023,-19.16274949,-20.18785892,-19.13062421,-8.527734649,-14.40279568,-23.16136755,-23.73924748,-23.48404159,-23.47186296,-16.38054835,-12.86702786,-17.85388189,-17.82307948
    Western Africa,43.30454486,16.45103081,9.978583567,0.897554299,-8.257353079,0.284406449,11.83390941,-10.93592749,-13.27265745,-19.90318213,-10.46312139,-11.51224692,-16.69579928,-21.2423724,-20.31096842,-13.35115729,-9.098702562,-10.00950573,-0.490573492,0.671633731,7.551965129,8.494836641,6.782401677,5.424508043,19.62017174,30.74088324,92.31210294,11.34110528,14.91157793,1.540121282,-21.36221216,16.92357346,29.04043417,-17.08492197,-23.4495235,-15.1382919,18.41090199,24.41298681,9.984543116,19.09545568,2.189970922,20.41207347,49.61080696,9.67233867,6.773428261,8.11414588,9.948438531,14.03190239,46.17570957,19.27599622,-4.317991766,11.26992715,45.41023011,15.72516759,46.48861259,41.14669538,58.92373026,50.31294999,48.91026693,31.43929627,24.21228139,23.49622028,36.59893602,49.46872773,46.59437895,15.66819882,27.71986557,-8.014369319,-16.39782861,6.761421894,7.416442939,-0.618432089
